Nombre;Longitud;Latitud;Fecha;SO2;NO;NO2;PM10;CO;O3;SH2;BEN;TOL;XIL
Guarnizo;-3.83803162;43.407125;2015-06-22;;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO;5. MUY BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-06-23;;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO;5. MUY BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-06-24;;5. MUY BAJO;4. BAJO;4. BAJO;5. MUY BAJO;5. MUY BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-06-25;;5. MUY BAJO;4. BAJO;;5. MUY BAJO;4. BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-06-26;;5. MUY BAJO;5. MUY BAJO;2. ALTO;5. MUY BAJO;3. MEDIO;;;;
Guarnizo;-3.83803162;43.407125;2015-06-27;;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO;5. MUY BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-06-28;;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-06-29;;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO;5. MUY BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-06-30;;5. MUY BAJO;4. BAJO;2. ALTO;5. MUY BAJO;4. BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-07-01;;5. MUY BAJO;5. MUY BAJO;3. MEDIO;5. MUY BAJO;4. BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-07-02;;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-07-03;;5. MUY BAJO;4. BAJO;3. MEDIO;5. MUY BAJO;5. MUY BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-07-04;;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO;5. MUY BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-07-05;;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-07-06;;5. MUY BAJO;4. BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-07-07;;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO;5. MUY BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-07-08;;5. MUY BAJO;4. BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-07-09;;5. MUY BAJO;4. BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-07-10;;5. MUY BAJO;5. MUY BAJO;3. MEDIO;5. MUY BAJO;4. BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-07-11;;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO;4. BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-07-12;;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-07-13;;5. MUY BAJO;4. BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-07-14;;5. MUY BAJO;4. BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-07-15;;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO;5. MUY BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-07-16;;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO;4. BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-07-17;;5. MUY BAJO;4. BAJO;3. MEDIO;5. MUY BAJO;5. MUY BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-07-18;;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO;5. MUY BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-07-19;;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO;4. BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-07-20;;5. MUY BAJO;4. BAJO;3. MEDIO;5. MUY BAJO;5. MUY BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-07-21;;5. MUY BAJO;4. BAJO;3. MEDIO;5. MUY BAJO;5. MUY BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-07-22;;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-07-23;;5. MUY BAJO;4. BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-07-24;;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-07-25;;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-07-26;;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-07-27;;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO;5. MUY BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-07-28;;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-07-29;;5. MUY BAJO;4. BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-07-30;;5. MUY BAJO;4. BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-07-31;;5. MUY BAJO;4. BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-08-01;;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-08-02;;5. MUY BAJO;4. BAJO;4. BAJO;5. MUY BAJO;4. BAJO;;;;
