Nombre;Longitud;Latitud;Fecha;SO2;NO;NO2;NOX;PM10;PM25;CO;O3;SH2;BEN;TOL;OXL
ATEGORRIETA;-1.960650618;43.32199195;2015-08-01;;5. MUY BAJO;2. ALTO;2. ALTO;5. MUY BAJO;4. BAJO;5. MUY BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-07-31;;5. MUY BAJO;3. MEDIO;2. ALTO;5. MUY BAJO;3. MEDIO;5. MUY BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-07-30;;4. BAJO;2. ALTO;1. MUY ALTO;5. MUY BAJO;3. MEDIO;4. BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-07-29;;4. BAJO;1. MUY ALTO;1. MUY ALTO;5. MUY BAJO;4. BAJO;4. BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-07-28;;5. MUY BAJO;2. ALTO;1. MUY ALTO;5. MUY BAJO;4. BAJO;4. BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-07-27;;5. MUY BAJO;2. ALTO;2. ALTO;4. BAJO;4. BAJO;4. BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-07-26;;5. MUY BAJO;3. MEDIO;3. MEDIO;5. MUY BAJO;4. BAJO;5. MUY BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-07-25;;5. MUY BAJO;2. ALTO;3. MEDIO;4. BAJO;4. BAJO;5. MUY BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-07-24;;5. MUY BAJO;2. ALTO;1. MUY ALTO;4. BAJO;3. MEDIO;4. BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-07-23;;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;5. MUY BAJO;3. MEDIO;4. BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-07-22;;4. BAJO;2. ALTO;1. MUY ALTO;5. MUY BAJO;3. MEDIO;4. BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-07-21;;4. BAJO;2. ALTO;1. MUY ALTO;4. BAJO;1. MUY ALTO;4. BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-07-20;;5. MUY BAJO;2. ALTO;2. ALTO;5. MUY BAJO;2. ALTO;4. BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-07-19;;5. MUY BAJO;4. BAJO;3. MEDIO;5. MUY BAJO;2. ALTO;5. MUY BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-07-18;;5. MUY BAJO;2. ALTO;1. MUY ALTO;4. BAJO;;4. BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-07-17;;4. BAJO;1. MUY ALTO;1. MUY ALTO;5. MUY BAJO;2. ALTO;4. BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-07-16;;5. MUY BAJO;1. MUY ALTO;2. ALTO;5. MUY BAJO;2. ALTO;5. MUY BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-07-15;;4. BAJO;1. MUY ALTO;1. MUY ALTO;4. BAJO;1. MUY ALTO;4. BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-07-14;;5. MUY BAJO;1. MUY ALTO;2. ALTO;5. MUY BAJO;4. BAJO;4. BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-07-13;;4. BAJO;1. MUY ALTO;1. MUY ALTO;5. MUY BAJO;4. BAJO;5. MUY BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-07-12;;5. MUY BAJO;3. MEDIO;3. MEDIO;5. MUY BAJO;4. BAJO;5. MUY BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-07-11;;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;4. BAJO;4. BAJO;5. MUY BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-07-10;;4. BAJO;1. MUY ALTO;1. MUY ALTO;2. ALTO;1. MUY ALTO;4. BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-07-09;;4. BAJO;1. MUY ALTO;1. MUY ALTO;5. MUY BAJO;4. BAJO;5. MUY BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-07-08;;5. MUY BAJO;2. ALTO;2. ALTO;5. MUY BAJO;4. BAJO;5. MUY BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-07-07;;5. MUY BAJO;3. MEDIO;3. MEDIO;4. BAJO;2. ALTO;5. MUY BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-07-06;;4. BAJO;1. MUY ALTO;1. MUY ALTO;4. BAJO;2. ALTO;4. BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-07-05;;5. MUY BAJO;2. ALTO;2. ALTO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-07-04;;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;4. BAJO;3. MEDIO;5. MUY BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-07-03;;3. MEDIO;1. MUY ALTO;1. MUY ALTO;2. ALTO;1. MUY ALTO;4. BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-07-02;;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;5. MUY BAJO;;5. MUY BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-07-01;;5. MUY BAJO;1. MUY ALTO;2. ALTO;3. MEDIO;1. MUY ALTO;5. MUY BAJO;;;;;
